2022-12-29 12:56:59.1545||DEBUG|Program|init main |url: |action: 
2022-12-29 13:05:14.8310||ERROR|CarRental.Controllers.AccountController|kullanıcı adı veya şifre bilginiz yanlış System.Exception: kullanıcı adı veya şifre bilginiz yanlış
   at CarRental.Controllers.AccountController.GirisYap(LoginDto dto) in C:\Users\Ahmet\source\repos\CarRental\CarRental\Controllers\AccountController.cs:line 49|url: https://localhost/girisyap|action: GirisYap
2022-12-29 13:35:39.9151||DEBUG|Program|init main |url: |action: 
2022-12-29 13:36:40.1754||DEBUG|Program|init main |url: |action: 
2022-12-29 13:36:57.5027||DEBUG|Program|init main |url: |action: 
2022-12-29 13:37:16.9433||DEBUG|Program|init main |url: |action: 
2022-12-29 13:38:10.2063||DEBUG|Program|init main |url: |action: 
2022-12-29 13:38:34.0347||DEBUG|Program|init main |url: |action: 
2022-12-29 13:38:50.1409||DEBUG|Program|init main |url: |action: 
2022-12-29 13:41:15.2111||DEBUG|Program|init main |url: |action: 
2022-12-29 13:41:54.1548||DEBUG|Program|init main |url: |action: 
2022-12-29 13:42:19.1906||DEBUG|Program|init main |url: |action: 
2022-12-29 13:48:49.3543||DEBUG|Program|init main |url: |action: 
2022-12-29 13:49:39.7425||DEBUG|Program|init main |url: |action: 
2022-12-29 13:49:54.5014||DEBUG|Program|init main |url: |action: 
2022-12-29 13:51:39.0217||DEBUG|Program|init main |url: |action: 
2022-12-29 13:53:57.1789||DEBUG|Program|init main |url: |action: 
2022-12-29 13:56:01.0293||DEBUG|Program|init main |url: |action: 
2022-12-29 14:09:16.2006||DEBUG|Program|init main |url: |action: 
2022-12-29 14:32:09.2019||DEBUG|Program|init main |url: |action: 
2022-12-29 14:36:26.7296||DEBUG|Program|init main |url: |action: 
2022-12-29 14:40:10.3477||DEBUG|Program|init main |url: |action: 
2022-12-29 14:43:33.1100||DEBUG|Program|init main |url: |action: 
2022-12-29 14:49:02.6671||DEBUG|Program|init main |url: |action: 
2022-12-29 14:51:54.3461||DEBUG|Program|init main |url: |action: 
2022-12-29 14:52:25.3709||DEBUG|Program|init main |url: |action: 
2022-12-29 14:55:48.8733||DEBUG|Program|init main |url: |action: 
2022-12-29 15:00:47.2602||DEBUG|Program|init main |url: |action: 
2022-12-29 15:04:52.8473||DEBUG|Program|init main |url: |action: 
2022-12-29 15:14:52.9920||DEBUG|Program|init main |url: |action: 
2022-12-29 15:18:05.3665||DEBUG|Program|init main |url: |action: 
2022-12-29 15:20:34.2834||DEBUG|Program|init main |url: |action: 
2022-12-29 15:20:57.7568||DEBUG|Program|init main |url: |action: 
2022-12-29 15:21:17.7944||DEBUG|Program|init main |url: |action: 
2022-12-29 15:21:41.1981||DEBUG|Program|init main |url: |action: 
2022-12-29 15:24:18.9038||DEBUG|Program|init main |url: |action: 
2022-12-29 15:25:15.5121||DEBUG|Program|init main |url: |action: 
2022-12-29 15:26:59.3087||DEBUG|Program|init main |url: |action: 
2022-12-29 15:27:51.8145||DEBUG|Program|init main |url: |action: 
2022-12-29 15:28:24.4969||DEBUG|Program|init main |url: |action: 
2022-12-29 15:33:40.3918||DEBUG|Program|init main |url: |action: 
2022-12-29 15:44:24.1483||DEBUG|Program|init main |url: |action: 
2022-12-29 17:21:03.4593||DEBUG|Program|init main |url: |action: 
2022-12-29 17:21:29.6579||DEBUG|Program|init main |url: |action: 
2022-12-29 17:21:56.4288||DEBUG|Program|init main |url: |action: 
2022-12-29 17:22:42.8060||DEBUG|Program|init main |url: |action: 
2022-12-29 17:25:11.8028||DEBUG|Program|init main |url: |action: 
2022-12-29 23:07:10.8448||DEBUG|Program|init main |url: |action: 
